Human Timestamp,Unix Time,Microseconds,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,IMU Temperature,Pressure,Pressure Temperature
Thu Nov 12 00:12:50 IST 2020,1605120170,200024,0.027067667,0.18733111,-9.797787,-0.17643376592671667,-0.2601886380872872,0.4088007857675663,1281.1152,-414.9412,529.8904,39.74512,98469.41,41.55
Thu Nov 12 00:12:50 IST 2020,1605120170,250106,0.02706415,0.18091175,-9.822142,-0.21037115452873134,-0.261146230608923,0.4088823306371572,1281.4543,-413.62735,530.2679,39.755318,98467.7,41.555
Thu Nov 12 00:12:50 IST 2020,1605120170,300035,0.037277725,0.15643322,-9.782755,-0.16878955101687224,-0.2337186194138567,0.40651153403075035,1281.8262,-414.7023,529.923,39.75353,98469.61,41.55
Thu Nov 12 00:12:50 IST 2020,1605120170,350009,0.034940097,0.17516363,-9.785349,-0.22740259170636434,-0.24136135444938092,0.4176135511806614,1281.1788,-414.2587,529.6241,39.755997,98470.28,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,400011,0.013905452,0.18483515,-9.820005,-0.27160412297460645,-0.2396171138628366,0.4014297973972701,1281.3177,-415.2187,530.1389,39.742287,98472.04,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,450022,0.036667004,0.18838333,-9.800285,-0.25527596760851246,-0.23183001519010507,0.4172131882588125,1281.5427,-414.33282,529.9105,39.75853,98468.62,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,500222,0.04095123,0.18040136,-9.826073,-0.18140238703844244,-0.2328923183062667,0.4065600663193528,1281.7617,-414.26202,529.6426,39.744537,98471.484,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,550009,0.018353196,0.21218187,-9.799953,-0.2207094996111919,-0.2420966432862805,0.4002864996212007,1281.6204,-414.4667,529.85516,39.7597,98468.84,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,600023,0.040878776,0.19715059,-9.798849,-0.2170696918024921,-0.2362010896131932,0.42262535426613984,1281.0715,-414.90396,529.6746,39.74694,98469.73,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,650069,0.038356915,0.16652672,-9.802788,-0.1921207942027188,-0.2683453069123595,0.4053077890805264,1281.6198,-413.95587,530.06616,39.75082,98470.14,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,700024,0.03131361,0.19409767,-9.793068,-0.2557073889183372,-0.24588781567608683,0.4486116817098473,1282.1862,-413.8927,529.59705,39.749935,98469.91,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,750318,0.010696305,0.16559272,-9.809611,-0.1754787916442627,-0.23958197633410644,0.43298227366859326,1282.0243,-413.91754,529.8509,39.748512,98469.555,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,800011,0.045707345,0.15921181,-9.793666,-0.21797882792651618,-0.24189481119630662,0.4016861951096133,1282.4093,-414.93164,530.48865,39.748116,98469.0,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,850022,0.03543411,0.19908734,-9.795088,-0.25997652276806293,-0.27307305001935617,0.4441590434444206,1281.5734,-414.77155,530.25757,39.751118,98468.96,41.56
Thu Nov 12 00:12:50 IST 2020,1605120170,900201,0.024356032,0.17931235,-9.827453,-0.19933539021376942,-0.26695517368878496,0.4153852778549355,1282.9867,-413.03256,529.76074,39.743317,98467.01,41.56
